month,source_hour,mean_irradiance_w_m2,median_irradiance_w_m2,min_irradiance_w_m2,max_irradiance_w_m2,std_irradiance_w_m2,valid_observation_count,missing_observation_count
2,22,5.069444444444445,3.4722222222222223,0.0,21.11111111111111,5.803273519238486,16,0
2,23,1.0243055555555556,0.1388888888888889,0.0,11.11111111111111,2.7455889613807756,16,0
2,24,0.5381944444444444,0.0,0.0,6.666666666666667,1.6681127985367104,16,0
3,1,0.0,0.0,0.0,0.0,0.0,16,0
3,2,0.052083333333333336,0.0,0.0,0.8333333333333334,0.20833333333333334,16,0
3,3,0.642361111111111,0.0,0.0,10.277777777777777,2.569444444444444,16,0
3,4,2.4131944444444446,0.0,0.0,35.833333333333336,8.92568699734007,16,0
3,5,8.003472222222221,1.1111111111111112,0.2777777777777778,73.05555555555556,18.353865817099646,16,0
3,6,27.79513888888889,13.61111111111111,6.388888888888888,139.16666666666666,34.985368598122584,16,0
3,7,79.21875,60.69444444444444,36.38888888888889,224.16666666666669,48.98992282684519,16,0
3,8,149.11458333333331,129.16666666666666,92.5,293.3333333333333,50.340631752560604,16,0
3,9,216.37152777777777,205.69444444444443,142.22222222222223,357.22222222222223,51.68741804995469,16,0
3,10,274.4444444444444,274.58333333333337,192.2222222222222,405.83333333333337,51.69035697415163,16,0
3,11,316.4583333333333,314.16666666666663,227.2222222222222,432.5,56.0720894751301,16,0
3,12,331.7361111111111,319.30555555555554,256.3888888888889,469.1666666666667,54.54106128647613,16,0
3,13,333.2986111111111,318.6111111111111,253.61111111111111,467.2222222222222,55.28153486208409,16,0
3,14,305.2951388888889,293.05555555555554,223.33333333333334,414.1666666666667,49.1392441573741,16,0
3,15,256.05902777777777,257.0833333333333,175.55555555555554,346.1111111111111,45.93252104117006,16,0
3,16,192.10069444444446,193.88888888888889,111.94444444444444,269.44444444444446,43.2974648263723,16,0
3,17,122.56944444444446,127.77777777777777,44.72222222222222,178.05555555555554,37.69769562113887,16,0
3,18,64.61805555555556,58.47222222222222,6.944444444444445,212.5,45.495542561927046,16,0
3,19,16.493055555555554,14.583333333333332,0.2777777777777778,37.22222222222222,10.441328830020895,16,0
3,20,1.6493055555555554,1.1111111111111112,0.0,6.111111111111111,1.7785552408783838,16,0
3,21,0.017361111111111112,0.0,0.0,0.2777777777777778,0.06944444444444446,16,0
3,22,0.0,0.0,0.0,0.0,0.0,16,0
3,23,0.0,0.0,0.0,0.0,0.0,15,1
3,24,0.0,0.0,0.0,0.0,0.0,15,1
4,1,0.0,0.0,0.0,0.0,0.0,16,0
4,2,0.0,0.0,0.0,0.0,0.0,16,0
4,3,0.0,0.0,0.0,0.0,0.0,16,0
4,4,0.0,0.0,0.0,0.0,0.0,16,0
4,5,0.0,0.0,0.0,0.0,0.0,16,0
4,6,0.2777777777777778,0.0,0.0,3.0555555555555554,0.7724686523931189,16,0
4,7,3.6458333333333335,0.6944444444444444,0.0,20.833333333333332,6.144584252645584,16,0
4,8,20.729166666666664,9.166666666666668,3.3333333333333335,59.166666666666664,20.33689378865891,16,0
4,9,49.65277777777778,38.888888888888886,15.277777777777777,103.88888888888889,27.34750084503401,16,0
4,10,87.98611111111111,75.97222222222223,32.5,147.22222222222223,30.126533565801395,16,0
4,11,115.98958333333333,111.25,59.44444444444444,168.33333333333331,26.9088097216852,16,0
4,12,132.04861111111111,126.94444444444444,77.22222222222223,221.66666666666669,32.1742738717901,16,0
4,13,123.38541666666666,129.58333333333334,73.33333333333333,187.5,29.39640013759139,16,0
4,14,101.82291666666666,110.0,46.111111111111114,162.5,30.348451115045467,16,0
4,15,68.29861111111111,72.22222222222223,15.0,118.33333333333333,26.562465202107443,16,0
4,16,31.5625,34.166666666666664,0.8333333333333334,57.77777777777777,16.398106321966022,16,0
4,17,9.635416666666666,9.86111111111111,0.0,31.11111111111111,7.927603718663327,16,0
4,18,0.6423611111111112,0.0,0.0,3.888888888888889,1.0768741439048017,16,0
4,19,0.017361111111111112,0.0,0.0,0.2777777777777778,0.06944444444444446,16,0
4,20,0.0,0.0,0.0,0.0,0.0,16,0
4,21,0.0,0.0,0.0,0.0,0.0,16,0
4,22,0.0,0.0,0.0,0.0,0.0,16,0
4,23,0.0,0.0,0.0,0.0,0.0,16,0
4,24,0.0,0.0,0.0,0.0,0.0,16,0
5,1,0.0,0.0,0.0,0.0,0.0,14,2
5,2,0.0,0.0,0.0,0.0,0.0,14,2
5,3,0.0,0.0,0.0,0.0,0.0,14,2
5,4,0.0,0.0,0.0,0.0,0.0,14,2
5,5,0.0,0.0,0.0,0.0,0.0,14,2
5,6,0.0,0.0,0.0,0.0,0.0,14,2
5,7,0.0,0.0,0.0,0.0,0.0,14,2
5,8,0.019841269841269844,0.0,0.0,0.2777777777777778,0.07423923386456234,14,2
5,9,0.5357142857142856,0.1388888888888889,0.0,2.4999999999999996,0.7426778192709204,14,2
5,10,5.515873015873015,3.0555555555555554,0.0,15.555555555555555,5.159904064800362,14,2
5,11,16.746031746031743,15.277777777777777,2.4999999999999996,32.77777777777778,8.440499367653725,14,2
5,12,26.349206349206344,25.138888888888886,13.333333333333334,44.72222222222222,9.055501247056187,14,2
5,13,25.297619047619047,23.888888888888886,3.0555555555555554,48.05555555555555,11.365393883650114,14,2
5,14,14.86111111111111,14.583333333333332,0.0,34.44444444444444,9.831045414457234,14,2
5,15,4.2063492063492065,3.0555555555555554,0.0,14.444444444444443,4.148617807297957,14,2
5,16,0.3174603174603174,0.0,0.0,1.6666666666666667,0.49758608728398035,14,2
5,17,0.0,0.0,0.0,0.0,0.0,14,2
5,18,0.0,0.0,0.0,0.0,0.0,14,2
5,19,0.0,0.0,0.0,0.0,0.0,14,2
5,20,0.0,0.0,0.0,0.0,0.0,14,2
5,21,0.0,0.0,0.0,0.0,0.0,14,2
5,22,0.0,0.0,0.0,0.0,0.0,14,2
5,23,0.0,0.0,0.0,0.0,0.0,14,2
5,24,0.0,0.0,0.0,0.0,0.0,14,2
6,1,,,,,,0,16
6,2,,,,,,0,16
6,3,,,,,,0,16
6,4,,,,,,0,16
6,5,,,,,,0,16
6,6,,,,,,0,16
6,7,,,,,,0,16
6,8,,,,,,0,16
6,9,,,,,,0,16
6,10,,,,,,0,16
6,11,,,,,,0,16
6,12,,,,,,0,16
6,13,,,,,,0,16
6,14,,,,,,0,16
6,15,,,,,,0,16
6,16,,,,,,0,16
6,17,,,,,,0,16
6,18,,,,,,0,16
6,19,,,,,,0,16
6,20,,,,,,0,16
6,21,,,,,,0,16
6,22,,,,,,0,16
6,23,,,,,,0,16
6,24,,,,,,0,16
7,1,0.0,0.0,0.0,0.0,0.0,10,6
7,2,0.0,0.0,0.0,0.0,0.0,10,6
7,3,0.0,0.0,0.0,0.0,0.0,10,6
7,4,0.0,0.0,0.0,0.0,0.0,10,6
7,5,0.0,0.0,0.0,0.0,0.0,10,6
7,6,0.0,0.0,0.0,0.0,0.0,10,6
7,7,0.0,0.0,0.0,0.0,0.0,10,6
7,8,0.0,0.0,0.0,0.0,0.0,10,6
7,9,0.1388888888888889,0.0,0.0,1.1111111111111112,0.35258208823444026,10,6
7,10,1.5,0.2777777777777778,0.0,7.777777777777778,2.5364286915946566,10,6
7,11,6.5,6.388888888888889,0.0,18.055555555555557,5.931999202669062,10,6
7,12,13.61111111111111,16.666666666666668,4.444444444444445,19.999999999999996,6.402963562822396,10,6
7,13,11.88888888888889,10.555555555555555,3.0555555555555554,25.0,7.382829595724539,10,6
7,14,3.8611111111111107,1.3888888888888888,0.0,11.11111111111111,4.135583650006401,10,6
7,15,0.6388888888888887,0.0,0.0,4.166666666666666,1.2899979264346748,10,6
7,16,0.0,0.0,0.0,0.0,0.0,10,6
7,17,0.0,0.0,0.0,0.0,0.0,10,6
7,18,0.0,0.0,0.0,0.0,0.0,10,6
7,19,0.0,0.0,0.0,0.0,0.0,10,6
7,20,0.0,0.0,0.0,0.0,0.0,10,6
7,21,0.0,0.0,0.0,0.0,0.0,10,6
7,22,0.0,0.0,0.0,0.0,0.0,10,6
7,23,0.0,0.0,0.0,0.0,0.0,10,6
7,24,0.0,0.0,0.0,0.0,0.0,10,6
8,1,0.0,0.0,0.0,0.0,0.0,16,0
8,2,0.0,0.0,0.0,0.0,0.0,16,0
8,3,0.0,0.0,0.0,0.0,0.0,16,0
8,4,0.0,0.0,0.0,0.0,0.0,16,0
8,5,0.0,0.0,0.0,0.0,0.0,16,0
8,6,0.0,0.0,0.0,0.0,0.0,16,0
8,7,0.1909722222222222,0.0,0.0,2.4999999999999996,0.6311426537500978,16,0
8,8,3.836805555555556,1.5277777777777777,0.2777777777777778,17.22222222222222,4.937071854646476,16,0
8,9,18.177083333333332,13.055555555555555,5.277777777777778,44.44444444444444,11.849523244911047,16,0
8,10,44.097222222222214,37.77777777777778,25.277777777777775,104.16666666666666,19.237657044444646,16,0
8,11,69.375,65.0,48.05555555555555,134.72222222222223,19.81200222336868,16,0
8,12,81.45833333333334,80.0,47.22222222222222,151.38888888888889,22.640848585937718,16,0
8,13,79.0625,79.44444444444443,35.27777777777778,147.5,26.924462808584764,16,0
8,14,59.73958333333333,64.02777777777777,10.277777777777777,112.22222222222223,27.493446422618895,16,0
8,15,36.40625,37.77777777777778,0.8333333333333334,111.38888888888889,26.677942976565966,16,0
8,16,11.649305555555555,11.25,0.0,35.55555555555556,9.449600308354546,16,0
8,17,2.2916666666666665,1.1111111111111112,0.0,20.555555555555554,4.964379289336689,16,0
8,18,0.017361111111111112,0.0,0.0,0.2777777777777778,0.06944444444444446,16,0
8,19,0.0,0.0,0.0,0.0,0.0,16,0
8,20,0.0,0.0,0.0,0.0,0.0,16,0
8,21,0.0,0.0,0.0,0.0,0.0,16,0
8,22,0.0,0.0,0.0,0.0,0.0,16,0
8,23,0.0,0.0,0.0,0.0,0.0,16,0
8,24,0.0,0.0,0.0,0.0,0.0,16,0
9,1,0.0,0.0,0.0,0.0,0.0,16,0
9,2,0.0,0.0,0.0,0.0,0.0,16,0
9,3,0.0,0.0,0.0,0.0,0.0,16,0
