year,month,source_hour,irradiance_w_m2,pv_capacity_kw,performance_ratio,availability_factor,pv_generation_kw,generation_type
1985,10,12,527.2222222222222,100.0,0.8,1.0,42.17777777777778,MODELED_SCENARIO
1985,10,13,522.2222222222222,100.0,0.8,1.0,41.77777777777777,MODELED_SCENARIO
1985,10,14,495.27777777777777,100.0,0.8,1.0,39.62222222222223,MODELED_SCENARIO
1985,10,15,423.6111111111111,100.0,0.8,1.0,33.888888888888886,MODELED_SCENARIO
1985,10,16,339.44444444444446,100.0,0.8,1.0,27.155555555555555,MODELED_SCENARIO
1985,10,17,248.61111111111111,100.0,0.8,1.0,19.88888888888889,MODELED_SCENARIO
1985,10,18,160.55555555555554,100.0,0.8,1.0,12.844444444444443,MODELED_SCENARIO
1985,10,19,91.11111111111111,100.0,0.8,1.0,7.288888888888889,MODELED_SCENARIO
1985,10,20,37.5,100.0,0.8,1.0,3.0,MODELED_SCENARIO
1985,10,21,6.111111111111111,100.0,0.8,1.0,0.4888888888888889,MODELED_SCENARIO
1985,10,22,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,10,23,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,10,24,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1985,11,1,15.833333333333334,100.0,0.8,1.0,1.2666666666666668,MODELED_SCENARIO
1985,11,2,27.5,100.0,0.8,1.0,2.2,MODELED_SCENARIO
1985,11,3,40.55555555555555,100.0,0.8,1.0,3.2444444444444445,MODELED_SCENARIO
1985,11,4,93.05555555555556,100.0,0.8,1.0,7.444444444444445,MODELED_SCENARIO
1985,11,5,145.27777777777777,100.0,0.8,1.0,11.622222222222224,MODELED_SCENARIO
1985,11,6,215.83333333333331,100.0,0.8,1.0,17.266666666666666,MODELED_SCENARIO
1985,11,7,293.6111111111111,100.0,0.8,1.0,23.48888888888889,MODELED_SCENARIO
1985,11,8,391.6666666666666,100.0,0.8,1.0,31.33333333333333,MODELED_SCENARIO
1985,11,9,493.6111111111111,100.0,0.8,1.0,39.488888888888894,MODELED_SCENARIO
1985,11,10,579.7222222222223,100.0,0.8,1.0,46.37777777777779,MODELED_SCENARIO
1985,11,11,638.3333333333334,100.0,0.8,1.0,51.06666666666668,MODELED_SCENARIO
1985,11,12,678.8888888888889,100.0,0.8,1.0,54.31111111111111,MODELED_SCENARIO
1985,11,13,678.0555555555555,100.0,0.8,1.0,54.24444444444445,MODELED_SCENARIO
1985,11,14,652.2222222222222,100.0,0.8,1.0,52.17777777777778,MODELED_SCENARIO
