month,source_hour,mean_pv_generation_kw,median_pv_generation_kw,min_pv_generation_kw,max_pv_generation_kw,std_pv_generation_kw,valid_observation_count,missing_observation_count,pv_capacity_kw,performance_ratio
4,15,5.463888888888889,5.777777777777779,1.2000000000000002,9.466666666666667,2.1249972161685955,16,0,100.0,0.8
4,16,2.525,2.7333333333333334,0.06666666666666668,4.622222222222222,1.311848505757282,16,0,100.0,0.8
4,17,0.7708333333333334,0.7888888888888889,0.0,2.488888888888889,0.6342082974930662,16,0,100.0,0.8
4,18,0.051388888888888894,0.0,0.0,0.3111111111111111,0.08614993151238413,16,0,100.0,0.8
4,19,0.001388888888888889,0.0,0.0,0.022222222222222223,0.005555555555555557,16,0,100.0,0.8
4,20,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
4,21,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
4,22,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
4,23,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
4,24,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
5,1,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,2,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,3,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,4,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,5,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,6,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,7,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,8,0.0015873015873015873,0.0,0.0,0.022222222222222223,0.005939138709164986,14,2,100.0,0.8
5,9,0.042857142857142864,0.011111111111111112,0.0,0.2,0.05941422554167363,14,2,100.0,0.8
5,10,0.4412698412698413,0.24444444444444446,0.0,1.2444444444444445,0.4127923251840289,14,2,100.0,0.8
5,11,1.3396825396825398,1.2222222222222223,0.2,2.6222222222222227,0.675239949412298,14,2,100.0,0.8
5,12,2.107936507936508,2.011111111111111,1.0666666666666669,3.5777777777777775,0.724440099764495,14,2,100.0,0.8
5,13,2.0238095238095237,1.911111111111111,0.24444444444444446,3.8444444444444446,0.9092315106920092,14,2,100.0,0.8
5,14,1.1888888888888887,1.1666666666666667,0.0,2.755555555555556,0.7864836331565789,14,2,100.0,0.8
5,15,0.33650793650793653,0.24444444444444446,0.0,1.1555555555555557,0.3318894245838366,14,2,100.0,0.8
5,16,0.025396825396825397,0.0,0.0,0.13333333333333336,0.039806886982718434,14,2,100.0,0.8
5,17,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,18,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,19,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,20,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,21,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,22,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,23,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
5,24,0.0,0.0,0.0,0.0,0.0,14,2,100.0,0.8
6,1,,,,,,0,16,100.0,0.8
6,2,,,,,,0,16,100.0,0.8
6,3,,,,,,0,16,100.0,0.8
6,4,,,,,,0,16,100.0,0.8
6,5,,,,,,0,16,100.0,0.8
6,6,,,,,,0,16,100.0,0.8
6,7,,,,,,0,16,100.0,0.8
6,8,,,,,,0,16,100.0,0.8
6,9,,,,,,0,16,100.0,0.8
6,10,,,,,,0,16,100.0,0.8
6,11,,,,,,0,16,100.0,0.8
6,12,,,,,,0,16,100.0,0.8
6,13,,,,,,0,16,100.0,0.8
6,14,,,,,,0,16,100.0,0.8
6,15,,,,,,0,16,100.0,0.8
6,16,,,,,,0,16,100.0,0.8
6,17,,,,,,0,16,100.0,0.8
6,18,,,,,,0,16,100.0,0.8
6,19,,,,,,0,16,100.0,0.8
6,20,,,,,,0,16,100.0,0.8
6,21,,,,,,0,16,100.0,0.8
6,22,,,,,,0,16,100.0,0.8
6,23,,,,,,0,16,100.0,0.8
6,24,,,,,,0,16,100.0,0.8
7,1,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,2,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,3,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,4,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,5,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,6,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,7,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,8,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,9,0.011111111111111112,0.0,0.0,0.08888888888888889,0.028206567058755218,10,6,100.0,0.8
7,10,0.12000000000000002,0.022222222222222223,0.0,0.6222222222222222,0.20291429532757255,10,6,100.0,0.8
7,11,0.52,0.5111111111111112,0.0,1.4444444444444449,0.4745599362135251,10,6,100.0,0.8
7,12,1.088888888888889,1.3333333333333335,0.35555555555555557,1.6,0.5122370850257918,10,6,100.0,0.8
7,13,0.9511111111111111,0.8444444444444446,0.24444444444444446,2.0,0.5906263676579632,10,6,100.0,0.8
7,14,0.3088888888888889,0.11111111111111112,0.0,0.888888888888889,0.33084669200051214,10,6,100.0,0.8
7,15,0.05111111111111111,0.0,0.0,0.33333333333333326,0.10319983411477399,10,6,100.0,0.8
7,16,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,17,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,18,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,19,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,20,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,21,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,22,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,23,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
7,24,0.0,0.0,0.0,0.0,0.0,10,6,100.0,0.8
8,1,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
8,2,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
8,3,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
8,4,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
8,5,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
8,6,0.0,0.0,0.0,0.0,0.0,16,0,100.0,0.8
8,7,0.015277777777777779,0.0,0.0,0.2,0.050491412300007844,16,0,100.0,0.8
